player_id,name,team_code,team_name,position,detail_url
79231,정수빈,OB,두산 베어스,타자,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=79231
64202,정은재,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=64202
50211,제환유,OB,두산 베어스,투수,https://www.koreabaseball.com/Futures/Player/PitcherDetail.aspx?playerId=50211
66209,조수행,OB,두산 베어스,타자,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=66209
55217,주양준,OB,두산 베어스,타자,https://www.koreabaseball.com/Futures/Player/HitterDetail.aspx?playerId=55217
69093,지강혁,OB,두산 베어스,타자,https://www.koreabaseball.com/Futures/Player/HitterDetail.aspx?playerId=69093
52208,천현재,OB,두산 베어스,타자,https://www.koreabaseball.com/Futures/Player/HitterDetail.aspx?playerId=52208
55268,최민석,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=55268
51264,최승용,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51264
51564,최우인,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=51564
67263,최원준,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=67263
50206,최종인,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50206
56215,최주형,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=56215
53259,최준호,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53259
52206,최지강,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=52206
56251,카메론,OB,두산 베어스,타자,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56251
56218,타무라,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=56218
50234,플렉센,OB,두산 베어스,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=50234
55214,한다현,OB,두산 베어스,타자,https://www.koreabaseball.com/Futures/Player/HitterDetail.aspx?playerId=55214
66233,홍성호,OB,두산 베어스,타자,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=66233
55258,황희천,OB,두산 베어스,투수,https://www.koreabaseball.com/Futures/Player/PitcherDetail.aspx?playerId=55258
67604,강이준,HT,KIA 타이거즈,투수,https://www.koreabaseball.com/Futures/Player/PitcherDetail.aspx?playerId=67604
61353,고종욱,HT,KIA 타이거즈,타자,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=61353
53609,곽도규,HT,KIA 타이거즈,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=53609
56638,곽동효,HT,KIA 타이거즈,타자,https://www.koreabaseball.com/Futures/Player/HitterDetail.aspx?playerId=56638
51640,권다결,HT,KIA 타이거즈,타자,https://www.koreabaseball.com/Futures/Player/HitterDetail.aspx?playerId=51640
76225,김건국,HT,KIA 타이거즈,투수,https://www.koreabaseball.com/Record/Player/PitcherDetail/Basic.aspx?playerId=76225
55618,김경묵,HT,KIA 타이거즈,투수,https://www.koreabaseball.com/Futures/Player/PitcherDetail.aspx?playerId=55618
